record_id,hospital_name,area,ward,hospital_type,department,total_beds,available_beds,total_icu,available_icu,total_ventilators,available_ventilators,occupancy_percent,distance_km,wait_time_mins,rating,consultation_fee_inr,emergency_status,accepts_pmjay,accepts_abha,accepts_private_insurance,accepts_no_insurance,ai_match_score,city,state
53,Jehangir Hospital,Sassoon Road,Ward 7,Multi-Specialty,Ophthalmology,280,134,35,15,45,20,52.1,7.0,17,4.9,1459,Active,True,True,True,True,61.8,Pune,Maharashtra
54,Jehangir Hospital,Sassoon Road,Ward 7,Multi-Specialty,Psychiatry,280,53,35,7,45,12,81.1,10.6,105,4.7,1078,Active,True,True,True,False,50,Pune,Maharashtra
55,Jehangir Hospital,Sassoon Road,Ward 7,Multi-Specialty,General Medicine,280,142,35,4,45,15,49.3,0.6,41,4.1,380,Active,False,False,True,True,50,Pune,Maharashtra
56,Deenanath Mangeshkar Hospital,Erandwane,Ward 8,Multi-Specialty,Gastroenterology,400,102,60,22,70,39,74.5,9.5,23,4.8,559,Active,True,True,True,True,50,Pune,Maharashtra
57,Deenanath Mangeshkar Hospital,Erandwane,Ward 8,Multi-Specialty,Neurology,400,53,60,0,70,21,86.8,3.1,81,4.4,993,Limited,True,False,True,True,50,Pune,Maharashtra
58,Deenanath Mangeshkar Hospital,Erandwane,Ward 8,Multi-Specialty,Ophthalmology,400,76,60,2,70,35,81.0,2.0,118,4.0,729,Active,True,True,True,True,50,Pune,Maharashtra
59,Deenanath Mangeshkar Hospital,Erandwane,Ward 8,Multi-Specialty,Dermatology,400,126,60,19,70,37,68.5,9.3,26,4.2,625,Active,False,True,True,True,50,Pune,Maharashtra
60,Deenanath Mangeshkar Hospital,Erandwane,Ward 8,Multi-Specialty,Nephrology,400,87,60,31,70,21,78.2,3.2,88,4.2,634,Limited,False,True,True,True,50,Pune,Maharashtra
61,Deenanath Mangeshkar Hospital,Erandwane,Ward 8,Multi-Specialty,Endocrinology,400,219,60,7,70,30,45.2,9.4,57,4.9,1381,Limited,True,True,True,False,73.8,Pune,Maharashtra
62,Deenanath Mangeshkar Hospital,Erandwane,Ward 8,Multi-Specialty,Gastroenterology,400,194,60,20,70,2,51.5,3.4,65,3.9,1459,Limited,False,True,True,True,50,Pune,Maharashtra
63,Deenanath Mangeshkar Hospital,Erandwane,Ward 8,Multi-Specialty,Ophthalmology,400,153,60,3,70,29,61.8,7.5,107,4.4,851,Closed,False,False,True,True,50,Pune,Maharashtra
64,Noble Hospital,Magarpatta,Ward 9,Multi-Specialty,General Medicine,180,19,20,11,25,2,89.4,9.5,100,3.9,881,Active,True,True,True,False,50,Pune,Maharashtra
65,Noble Hospital,Magarpatta,Ward 9,Multi-Specialty,Psychiatry,180,43,20,0,25,12,76.1,7.8,92,4.3,1190,Active,True,True,True,True,50,Pune,Maharashtra
66,Noble Hospital,Magarpatta,Ward 9,Multi-Specialty,Urology,180,18,20,0,25,12,90.0,1.3,66,4.9,1395,Limited,True,True,False,False,50,Pune,Maharashtra
67,Noble Hospital,Magarpatta,Ward 9,Multi-Specialty,Cardiology,180,96,20,4,25,6,46.7,9.7,117,4.9,1022,Limited,True,True,False,False,65.6,Pune,Maharashtra
68,Noble Hospital,Magarpatta,Ward 9,Multi-Specialty,Ophthalmology,180,95,20,9,25,7,47.2,2.5,115,4.1,1043,Closed,False,True,True,False,53.6,Pune,Maharashtra
69,Noble Hospital,Magarpatta,Ward 9,Multi-Specialty,Pediatrics,180,91,20,1,25,5,49.4,7.4,22,4.6,1448,Active,True,True,True,False,64.1,Pune,Maharashtra
70,Noble Hospital,Magarpatta,Ward 9,Multi-Specialty,ENT,180,34,20,8,25,13,81.1,10.0,83,4.6,823,Active,True,False,True,True,50,Pune,Maharashtra
71,Noble Hospital,Magarpatta,Ward 9,Multi-Specialty,Endocrinology,180,64,20,2,25,9,64.4,3.9,96,4.1,1039,Active,False,True,True,False,50,Pune,Maharashtra
72,Inamdar Hospital,Fatima Nagar,Ward 10,Multi-Specialty,Gynecology,200,103,25,3,30,12,48.5,8.0,101,4.0,842,Active,True,True,False,False,67.7,Pune,Maharashtra
73,Inamdar Hospital,Fatima Nagar,Ward 10,Multi-Specialty,Psychiatry,200,87,25,7,30,12,56.5,8.5,111,3.9,944,Active,False,False,True,True,50,Pune,Maharashtra
74,Inamdar Hospital,Fatima Nagar,Ward 10,Multi-Specialty,Psychiatry,200,72,25,1,30,2,64.0,3.7,112,4.5,537,Limited,True,True,True,True,51.2,Pune,Maharashtra
75,Inamdar Hospital,Fatima Nagar,Ward 10,Multi-Specialty,Orthopedics,200,25,25,2,30,12,87.5,5.2,78,4.0,1345,Active,True,True,True,True,50,Pune,Maharashtra
76,Inamdar Hospital,Fatima Nagar,Ward 10,Multi-Specialty,Ophthalmology,200,87,25,14,30,5,56.5,11.9,23,4.5,363,Active,True,True,False,False,55.7,Pune,Maharashtra
77,Inamdar Hospital,Fatima Nagar,Ward 10,Multi-Specialty,Neurology,200,28,25,13,30,14,86.0,10.5,78,4.2,609,Active,True,True,True,True,50,Pune,Maharashtra
78,Inamdar Hospital,Fatima Nagar,Ward 10,Multi-Specialty,Pulmonology,200,83,25,1,30,6,58.5,7.6,17,4.0,388,Active,True,True,True,True,57.9,Pune,Maharashtra
79,Sanjeevan Hospital,Bibwewadi,Ward 11,Specialty,Urology,100,41,10,5,12,3,59.0,10.1,62,4.6,460,Active,True,True,True,True,52.6,Pune,Maharashtra
80,Sanjeevan Hospital,Bibwewadi,Ward 11,Specialty,Urology,100,26,10,0,12,5,74.0,9.0,17,4.7,1385,Closed,True,True,True,True,50,Pune,Maharashtra
81,Sanjeevan Hospital,Bibwewadi,Ward 11,Specialty,Oncology,100,58,10,6,12,4,42.0,5.2,31,4.6,526,Active,False,True,True,True,60.5,Pune,Maharashtra
82,Sanjeevan Hospital,Bibwewadi,Ward 11,Specialty,Dermatology,100,17,10,0,12,6,83.0,8.4,104,4.7,896,Closed,False,True,True,False,50,Pune,Maharashtra
83,Sanjeevan Hospital,Bibwewadi,Ward 11,Specialty,Urology,100,21,10,2,12,6,79.0,8.0,97,4.2,405,Active,False,True,True,True,50,Pune,Maharashtra
84,Sanjeevan Hospital,Bibwewadi,Ward 11,Specialty,Pediatrics,100,12,10,5,12,2,88.0,2.2,89,5.0,480,Active,True,True,True,False,50,Pune,Maharashtra
85,Sanjeevan Hospital,Bibwewadi,Ward 11,Specialty,Oncology,100,22,10,2,12,5,78.0,2.9,89,4.6,1123,Active,False,False,True,True,50,Pune,Maharashtra
86,Poona Hospital,Sadashiv Peth,Ward 12,Multi-Specialty,Psychiatry,220,74,25,8,30,4,66.4,5.5,46,4.8,668,Active,True,True,True,True,52.1,Pune,Maharashtra
87,Poona Hospital,Sadashiv Peth,Ward 12,Multi-Specialty,Gynecology,220,66,25,0,30,0,70.0,6.7,109,4.0,976,Active,True,True,False,False,50,Pune,Maharashtra
88,Poona Hospital,Sadashiv Peth,Ward 12,Multi-Specialty,ENT,220,69,25,14,30,12,68.6,7.8,120,4.6,987,Closed,False,True,True,True,50,Pune,Maharashtra
89,Poona Hospital,Sadashiv Peth,Ward 12,Multi-Specialty,Orthopedics,220,110,25,11,30,10,50.0,7.1,111,4.6,1013,Active,True,True,True,True,65.2,Pune,Maharashtra
90,Poona Hospital,Sadashiv Peth,Ward 12,Multi-Specialty,Nephrology,220,34,25,3,30,4,84.5,4.7,56,4.0,907,Closed,True,True,True,True,50,Pune,Maharashtra
91,Poona Hospital,Sadashiv Peth,Ward 12,Multi-Specialty,Gastroenterology,220,41,25,15,30,13,81.4,10.5,29,4.6,1132,Closed,False,True,True,True,50,Pune,Maharashtra
92,Inlaks & Budhrani Hospital,Koregaon Park,Ward 13,Multi-Specialty,General Medicine,160,25,18,4,22,6,84.4,8.1,56,4.9,906,Active,True,True,True,True,50,Pune,Maharashtra
93,Inlaks & Budhrani Hospital,Koregaon Park,Ward 13,Multi-Specialty,Pulmonology,160,93,18,3,22,10,41.9,5.5,97,4.9,1467,Active,False,True,True,True,64.9,Pune,Maharashtra
94,Inlaks & Budhrani Hospital,Koregaon Park,Ward 13,Multi-Specialty,Cardiology,160,62,18,5,22,2,61.3,11.3,75,5.0,523,Active,True,True,False,False,50.9,Pune,Maharashtra
95,Inlaks & Budhrani Hospital,Koregaon Park,Ward 13,Multi-Specialty,Oncology,160,94,18,8,22,10,41.2,10.2,70,3.9,689,Active,True,True,True,True,70.9,Pune,Maharashtra
96,Inlaks & Budhrani Hospital,Koregaon Park,Ward 13,Multi-Specialty,Cardiology,160,21,18,9,22,6,86.9,3.8,57,4.3,308,Limited,True,True,True,False,50,Pune,Maharashtra
97,Inlaks & Budhrani Hospital,Koregaon Park,Ward 13,Multi-Specialty,Oncology,160,65,18,3,22,7,59.4,10.5,102,4.4,511,Active,True,False,True,True,50,Pune,Maharashtra
98,Inlaks & Budhrani Hospital,Koregaon Park,Ward 13,Multi-Specialty,Cardiology,160,39,18,4,22,11,75.6,5.2,102,4.4,550,Active,True,True,True,True,50,Pune,Maharashtra
99,Inlaks & Budhrani Hospital,Koregaon Park,Ward 13,Multi-Specialty,Pediatrics,160,33,18,8,22,13,79.4,3.5,97,4.9,1355,Limited,False,True,True,True,50,Pune,Maharashtra
100,Inlaks & Budhrani Hospital,Koregaon Park,Ward 13,Multi-Specialty,Orthopedics,160,30,18,9,22,7,81.2,11.1,40,4.1,1470,Limited,False,True,True,False,50,Pune,Maharashtra
101,Medipoint Hospital,Aundh,Ward 3,Specialty,Endocrinology,120,27,15,7,18,3,77.5,3.9,52,5.0,907,Limited,True,True,True,True,50,Pune,Maharashtra
102,Medipoint Hospital,Aundh,Ward 3,Specialty,Oncology,120,23,15,0,18,9,80.8,4.4,93,3.9,1391,Closed,True,True,True,True,50,Pune,Maharashtra
103,Medipoint Hospital,Aundh,Ward 3,Specialty,Ophthalmology,120,12,15,9,18,3,90.0,3.8,33,3.9,505,Active,True,True,True,True,50,Pune,Maharashtra
104,Medipoint Hospital,Aundh,Ward 3,Specialty,Urology,120,36,15,3,18,7,70.0,3.9,87,4.2,442,Active,True,True,True,False,50,Pune,Maharashtra
105,Medipoint Hospital,Aundh,Ward 3,Specialty,Pediatrics,120,26,15,9,18,6,78.3,9.1,89,3.8,778,Active,True,True,False,False,50,Pune,Maharashtra
106,Medipoint Hospital,Aundh,Ward 3,Specialty,General Medicine,120,32,15,9,18,7,73.3,3.0,45,4.2,688,Active,True,True,True,True,50,Pune,Maharashtra
107,Medipoint Hospital,Aundh,Ward 3,Specialty,Gynecology,120,53,15,8,18,4,55.8,9.1,66,4.0,378,Active,False,False,True,True,50,Pune,Maharashtra
108,Medipoint Hospital,Aundh,Ward 3,Specialty,Gynecology,120,34,15,3,18,5,71.7,7.9,93,3.9,511,Limited,True,True,True,True,50,Pune,Maharashtra
109,Oyster & Pearl Hospital,Wakad,Ward 14,Multi-Specialty,Pediatrics,140,81,16,0,20,12,42.1,9.5,41,4.2,1483,Active,False,True,True,False,58.3,Pune,Maharashtra
110,Oyster & Pearl Hospital,Wakad,Ward 14,Multi-Specialty,Cardiology,140,67,16,9,20,5,52.1,9.8,34,4.9,842,Limited,True,True,True,True,66.8,Pune,Maharashtra
111,Oyster & Pearl Hospital,Wakad,Ward 14,Multi-Specialty,Endocrinology,140,19,16,2,20,8,86.4,5.9,15,4.7,785,Closed,True,False,True,True,50,Pune,Maharashtra
112,Oyster & Pearl Hospital,Wakad,Ward 14,Multi-Specialty,Dermatology,140,23,16,0,20,4,83.6,3.5,115,4.4,828,Active,True,True,True,True,50,Pune,Maharashtra
113,Oyster & Pearl Hospital,Wakad,Ward 14,Multi-Specialty,Neurology,140,15,16,4,20,11,89.3,1.7,110,3.8,1112,Active,True,True,True,True,50,Pune,Maharashtra
114,Oyster & Pearl Hospital,Wakad,Ward 14,Multi-Specialty,Oncology,140,47,16,6,20,8,66.4,7.6,34,4.3,1098,Active,False,True,True,False,50,Pune,Maharashtra
115,Columbia Asia Hospital,Viman Nagar,Ward 15,Multi-Specialty,Orthopedics,180,44,22,0,28,6,75.6,5.1,105,4.1,1177,Active,False,True,True,True,50,Pune,Maharashtra
116,Columbia Asia Hospital,Viman Nagar,Ward 15,Multi-Specialty,ENT,180,33,22,11,28,11,81.7,7.4,42,4.6,1027,Limited,True,False,True,True,50,Pune,Maharashtra
117,Columbia Asia Hospital,Viman Nagar,Ward 15,Multi-Specialty,Gynecology,180,101,22,8,28,2,43.9,3.1,19,4.8,906,Limited,True,True,True,True,70.2,Pune,Maharashtra
118,Columbia Asia Hospital,Viman Nagar,Ward 15,Multi-Specialty,General Medicine,180,40,22,3,28,11,77.8,11.6,90,3.9,1344,Limited,False,False,True,True,50,Pune,Maharashtra
119,Columbia Asia Hospital,Viman Nagar,Ward 15,Multi-Specialty,Pediatrics,180,38,22,3,28,1,78.9,9.3,70,4.2,475,Active,True,True,False,False,50,Pune,Maharashtra
120,Columbia Asia Hospital,Viman Nagar,Ward 15,Multi-Specialty,ENT,180,90,22,2,28,15,50.0,6.2,21,4.9,1221,Active,True,False,True,True,58.9,Pune,Maharashtra
121,Columbia Asia Hospital,Viman Nagar,Ward 15,Multi-Specialty,Pulmonology,180,68,22,8,28,5,62.2,5.7,113,4.5,751,Limited,True,True,True,False,50,Pune,Maharashtra
122,Surya Mother & Child Care,Wakad,Ward 14,Specialty,Dermatology,80,26,8,3,10,2,67.5,4.5,16,4.7,1320,Active,True,True,True,False,51.9,Pune,Maharashtra
123,Surya Mother & Child Care,Wakad,Ward 14,Specialty,Gynecology,80,33,8,3,10,0,58.8,3.8,107,4.5,637,Active,True,True,True,True,58.4,Pune,Maharashtra
124,Surya Mother & Child Care,Wakad,Ward 14,Specialty,General Medicine,80,8,8,1,10,1,90.0,7.9,108,5.0,874,Active,True,True,True,True,50,Pune,Maharashtra
125,Surya Mother & Child Care,Wakad,Ward 14,Specialty,Endocrinology,80,31,8,4,10,2,61.3,11.9,24,4.6,1027,Active,False,True,True,False,50,Pune,Maharashtra
126,Surya Mother & Child Care,Wakad,Ward 14,Specialty,Ophthalmology,80,30,8,0,10,4,62.5,1.5,94,4.3,1140,Active,True,True,True,True,55.4,Pune,Maharashtra
127,Surya Mother & Child Care,Wakad,Ward 14,Specialty,Endocrinology,80,36,8,4,10,5,55.0,3.1,100,4.2,1430,Active,False,True,True,False,50,Pune,Maharashtra
128,Bharati Hospital,Dhankawadi,Ward 16,Teaching Hospital,Gynecology,500,57,70,23,80,47,88.6,8.9,77,4.3,111,Limited,True,False,True,True,50,Pune,Maharashtra
129,Bharati Hospital,Dhankawadi,Ward 16,Teaching Hospital,Endocrinology,500,257,70,40,80,5,48.6,11.6,105,4.2,203,Active,False,False,True,True,50,Pune,Maharashtra
130,Bharati Hospital,Dhankawadi,Ward 16,Teaching Hospital,General Medicine,500,107,70,31,80,35,78.6,4.1,33,4.2,284,Active,True,True,False,False,50,Pune,Maharashtra
131,Bharati Hospital,Dhankawadi,Ward 16,Teaching Hospital,Gynecology,500,118,70,12,80,3,76.4,8.8,53,3.8,215,Closed,True,True,True,True,50,Pune,Maharashtra
132,Bharati Hospital,Dhankawadi,Ward 16,Teaching Hospital,Urology,500,78,70,13,80,2,84.4,3.0,60,3.9,196,Active,False,False,True,True,50,Pune,Maharashtra
133,Bharati Hospital,Dhankawadi,Ward 16,Teaching Hospital,Gastroenterology,500,181,70,1,80,21,63.8,2.6,75,4.2,185,Active,True,True,True,True,52.2,Pune,Maharashtra
134,Bharati Hospital,Dhankawadi,Ward 16,Teaching Hospital,Psychiatry,500,235,70,28,80,23,53.0,8.9,48,4.1,144,Active,True,False,True,True,57.5,Pune,Maharashtra
135,Grant Medical Foundation,Swargate,Ward 17,Multi-Specialty,Orthopedics,250,27,30,4,38,2,89.2,4.4,61,4.5,544,Limited,False,True,True,True,50,Pune,Maharashtra
136,Grant Medical Foundation,Swargate,Ward 17,Multi-Specialty,Oncology,250,129,30,14,38,0,48.4,9.2,108,3.8,1394,Limited,False,True,True,False,53.0,Pune,Maharashtra
137,Grant Medical Foundation,Swargate,Ward 17,Multi-Specialty,Urology,250,115,30,10,38,0,54.0,2.9,99,4.5,1453,Active,False,True,True,True,50,Pune,Maharashtra
138,Grant Medical Foundation,Swargate,Ward 17,Multi-Specialty,Oncology,250,99,30,10,38,9,60.4,10.0,92,4.3,853,Closed,False,True,True,False,50,Pune,Maharashtra
139,Grant Medical Foundation,Swargate,Ward 17,Multi-Specialty,Orthopedics,250,121,30,5,38,17,51.6,8.4,63,3.9,472,Limited,True,False,True,True,58.1,Pune,Maharashtra
140,Grant Medical Foundation,Swargate,Ward 17,Multi-Specialty,Urology,250,131,30,5,38,3,47.6,5.5,78,4.0,1500,Limited,True,True,True,False,68.0,Pune,Maharashtra
141,Grant Medical Foundation,Swargate,Ward 17,Multi-Specialty,Neurology,250,119,30,16,38,11,52.4,3.5,73,4.1,1437,Active,True,False,True,True,60.4,Pune,Maharashtra
142,Grant Medical Foundation,Swargate,Ward 17,Multi-Specialty,Oncology,250,76,30,4,38,3,69.6,9.4,30,4.7,769,Active,False,True,True,True,50,Pune,Maharashtra
143,Lokmanya Hospital,Chinchwad,Ward 18,Multi-Specialty,Cardiology,200,74,22,3,28,16,63.0,7.0,118,4.4,922,Closed,False,False,True,True,50,Pune,Maharashtra
144,Lokmanya Hospital,Chinchwad,Ward 18,Multi-Specialty,General Medicine,200,86,22,6,28,13,57.0,11.1,70,4.1,930,Closed,True,True,False,False,57.6,Pune,Maharashtra
145,Lokmanya Hospital,Chinchwad,Ward 18,Multi-Specialty,Oncology,200,33,22,7,28,10,83.5,2.8,100,4.3,1044,Active,True,True,False,False,50,Pune,Maharashtra
146,Lokmanya Hospital,Chinchwad,Ward 18,Multi-Specialty,General Medicine,200,47,22,11,28,7,76.5,3.4,107,4.6,339,Active,True,True,True,True,50,Pune,Maharashtra
